policy_id,draw_id,f1,f2,f3
0,0,-0.07308679996268207,0.8573363373127029,0.7941176470588235
0,1,0.003906855316523004,0.8354481375883688,0.7647058823529411
0,2,0.02012110516168944,0.8427031923880663,0.8529411764705882
0,3,0.019612034022457633,0.8489018524076298,0.7941176470588235
0,4,0.023513849330019994,0.840277013583211,0.7058823529411765
0,5,0.028200076284699248,0.8492037787337157,0.6764705882352942
0,6,0.07115553085419303,0.8408855903472501,0.8235294117647058
0,7,0.007626828977526479,0.8579446361878085,0.8529411764705882
0,8,-0.0042665392795551245,0.8427090280556667,0.6764705882352942
0,9,0.04458821444731277,0.8561923380463297,0.8823529411764706
0,10,0.03717088870445627,0.8399852302031924,0.8823529411764706
0,11,0.048944106630166975,0.8466800609132543,0.8235294117647058
0,12,0.029182560838722723,0.8533957332933173,0.8235294117647058
0,13,0.11275615674870887,0.8326378468053888,0.8529411764705882
0,14,0.08854589252521618,0.8300971777599928,0.9117647058823529
0,15,0.08278107158637472,0.851885406940554,0.8235294117647058
0,16,0.004539879014039112,0.8426014155662266,0.8529411764705882
0,17,0.06859471746871715,0.8292255096483038,0.8529411764705882
0,18,-0.002630882853902317,0.8493161153350229,0.9117647058823529
0,19,0.06066712471432142,0.8274661253390246,0.7941176470588235
0,20,0.06977671039820009,0.83916907040594,0.7352941176470589
0,21,0.020508783364756703,0.8401978847094392,0.9705882352941176
0,22,-0.027132935620120605,0.8515747271130675,0.7647058823529411
0,23,0.01499790983127497,0.8561389833711263,0.8823529411764706
0,24,0.03793016832699175,0.8569136682450759,0.8529411764705882
0,25,0.05044661632553288,0.8533040299453114,0.8235294117647058
0,26,0.0061649063733787346,0.829875075030012,0.8529411764705882
0,27,0.032386357555371455,0.8235198940687387,0.8529411764705882
0,28,0.06537456179514688,0.8486020797207773,0.8529411764705882
0,29,0.08784265797101402,0.8375540493975366,0.8529411764705882
0,30,0.061756025989041,0.8437008136587969,0.7352941176470589
0,31,0.0077992940184925304,0.8313912370503757,0.7941176470588235
0,32,-0.0017132663952615188,0.8419586584633854,0.8529411764705882
0,33,0.007111204444697408,0.8408980258770175,0.7941176470588235
0,34,0.03800423435875577,0.8491397948068116,0.9117647058823529
0,35,0.05053087866574196,0.8571757869814592,0.7352941176470589
0,36,0.0029509609087121774,0.8446762732870926,0.7941176470588235
0,37,0.019988971910013188,0.8500956632653062,0.7647058823529411
0,38,0.04200440407030376,0.8533081982793117,0.8823529411764706
0,39,0.032158805659516176,0.8369297719087634,0.7647058823529411
0,40,0.09650729699978366,0.8473908313325331,0.7352941176470589
0,41,0.14990785333528095,0.842444616735583,0.6764705882352942
0,42,0.09209490660589346,0.8248925959272598,0.6764705882352942
0,43,-0.03355126781454212,0.8501674975545773,0.8235294117647058
0,44,0.05667307529804529,0.839032071161798,0.8235294117647058
0,45,0.07551574655769801,0.8508231764928195,0.8235294117647058
0,46,-0.00998680144592415,0.8435328297985861,0.7941176470588235
0,47,0.04523039762412279,0.8466657496331866,0.8235294117647058
0,48,0.015949609650809153,0.8529818871993242,0.7352941176470589
0,49,0.008029315326334672,0.8268311491263172,0.7941176470588235
0,50,0.0221280645252206,0.8457938036325642,0.8235294117647058
0,51,0.016699885211454338,0.8415128551420569,0.7941176470588235
0,52,0.03294553512057136,0.8339735199635411,0.7941176470588235
0,53,0.06940298885052774,0.8372727563247522,0.7941176470588235
0,54,0.0746909464795564,0.848495092481437,0.7352941176470589
0,55,-0.016105924085601943,0.8589833850206748,0.8235294117647058
0,56,0.07077060109073322,0.8437097061046641,0.7058823529411765
0,57,0.06878538128340111,0.8405503173491619,0.7058823529411765
0,58,0.05365477872215818,0.8420115268329553,0.8823529411764706
0,59,0.057875187727502074,0.8231020185852119,0.8235294117647058
0,60,-0.037900488279270145,0.8567511032190653,0.8823529411764706
0,61,0.05699725976455646,0.8345436091103108,0.7352941176470589
0,62,0.050080583202108335,0.8559139628073451,0.7647058823529411
