p_mean,eliminated_flag,event_id,contestant_key,season_id,week,pro_id,celeb_id
0.5523877699779592,0,1-2,S1:Evander Holyfield,0,2,21,120
0.04709010688102771,0,1-2,S1:Joey McIntyre,0,2,8,121
2.443725739327621e-05,0,1-2,S1:John O'Hurley,0,2,12,122
0.06819519868985593,0,1-2,S1:Kelly Monaco,0,2,2,123
0.02303723863762349,0,1-2,S1:Rachel Hunter,0,2,34,124
0.17338291710931034,1,1-2,S1:Trista Sutter,0,2,43,125
0.7985443155215474,1,1-3,S1:Evander Holyfield,0,3,21,120
0.07847491306823752,0,1-3,S1:Joey McIntyre,0,3,8,121
0.0010896191652259798,0,1-3,S1:John O'Hurley,0,3,12,122
0.041046908889739865,0,1-3,S1:Kelly Monaco,0,3,2,123
0.006106088158429197,0,1-3,S1:Rachel Hunter,0,3,34,124
0.366009327878444,0,1-4,S1:Joey McIntyre,0,4,8,121
0.033694444017714,0,1-4,S1:John O'Hurley,0,4,12,122
0.002605534481749766,0,1-4,S1:Kelly Monaco,0,4,2,123
0.14564246556421545,1,1-4,S1:Rachel Hunter,0,4,34,124
0.5245789896354379,1,1-5,S1:Joey McIntyre,0,5,8,121
0.00033827174442439616,0,1-5,S1:John O'Hurley,0,5,12,122
0.32026732502037086,0,1-5,S1:Kelly Monaco,0,5,2,123
0.00017221849187681467,0,2-1,S2:Drew Lachey,1,1,14,251
0.059012791925563454,0,2-1,S2:George Hamilton,1,1,21,252
0.014954817745854915,0,2-1,S2:Giselle Fernandez,1,1,34,253
0.002583568183458066,0,2-1,S2:Jerry Rice,1,1,6,254
0.4267517915878294,1,2-1,S2:Kenny Mayne,1,1,4,255
0.018460505593876967,0,2-1,S2:Lisa Rinna,1,1,43,256
0.7210839852443527,0,2-1,S2:Master P,1,1,8,257
0.00040662490914923524,0,2-1,S2:Stacy Keibler,1,1,52,258
0.013822357642897047,0,2-1,S2:Tatum O'Neal,1,1,46,259
0.02711166338723765,0,2-1,S2:Tia Carrere,1,1,44,260
0.00035285968584817856,0,2-2,S2:Drew Lachey,1,2,14,251
0.10101998987285228,0,2-2,S2:George Hamilton,1,2,21,252
0.04644690170163476,0,2-2,S2:Giselle Fernandez,1,2,34,253
0.008270300243665442,0,2-2,S2:Jerry Rice,1,2,6,254
0.03711538044078135,0,2-2,S2:Lisa Rinna,1,2,43,256
0.8211780259656537,0,2-2,S2:Master P,1,2,8,257
6.866298077693387e-05,0,2-2,S2:Stacy Keibler,1,2,52,258
0.16420844423036618,1,2-2,S2:Tatum O'Neal,1,2,46,259
0.04342158691423492,0,2-2,S2:Tia Carrere,1,2,44,260
0.00046983113786802666,0,2-3,S2:Drew Lachey,1,3,14,251
0.1392120586243521,0,2-3,S2:George Hamilton,1,3,21,252
0.07431256860715342,1,2-3,S2:Giselle Fernandez,1,3,34,253
0.02072555996501319,0,2-3,S2:Jerry Rice,1,3,6,254
0.03412311562786924,0,2-3,S2:Lisa Rinna,1,3,43,256
0.8648457845037039,0,2-3,S2:Master P,1,3,8,257
0.0004957310266249332,0,2-3,S2:Stacy Keibler,1,3,52,258
0.030047366065005993,0,2-3,S2:Tia Carrere,1,3,44,260
0.0003946387064624397,0,2-4,S2:Drew Lachey,1,4,14,251
0.20130513880568912,0,2-4,S2:George Hamilton,1,4,21,252
0.012742212467614748,0,2-4,S2:Jerry Rice,1,4,6,254
0.042090087333215925,0,2-4,S2:Lisa Rinna,1,4,43,256
0.9468859198973626,1,2-4,S2:Master P,1,4,8,257
0.0011419483437211545,0,2-4,S2:Stacy Keibler,1,4,52,258
0.0825445835013484,0,2-4,S2:Tia Carrere,1,4,44,260
0.0038112577589868627,0,2-5,S2:Drew Lachey,1,5,14,251
0.4940717451952095,0,2-5,S2:George Hamilton,1,5,21,252
0.06944638999818571,0,2-5,S2:Jerry Rice,1,5,6,254
0.19757292372138982,0,2-5,S2:Lisa Rinna,1,5,43,256
0.00036811180034319646,0,2-5,S2:Stacy Keibler,1,5,52,258
0.3070174952511973,1,2-5,S2:Tia Carrere,1,5,44,260
0.0027810970949347386,0,2-6,S2:Drew Lachey,1,6,14,251
0.6060672088158164,1,2-6,S2:George Hamilton,1,6,21,252
0.12158195603693576,0,2-6,S2:Jerry Rice,1,6,6,254
0.279456341353173,0,2-6,S2:Lisa Rinna,1,6,43,256
0.003123074160817753,0,2-6,S2:Stacy Keibler,1,6,52,258
0.010734724942263761,0,2-7,S2:Drew Lachey,1,7,14,251
0.3374194612883272,0,2-7,S2:Jerry Rice,1,7,6,254
0.4433249374667079,1,2-7,S2:Lisa Rinna,1,7,43,256
0.012065707105768129,0,2-7,S2:Stacy Keibler,1,7,52,258
0.00043526158845270545,0,3-1,S3:Emmitt Smith,2,1,14,332
0.15848571302692396,0,3-1,S3:Harry Hamlin,2,1,8,333
0.051808759178506726,0,3-1,S3:Jerry Springer,2,1,40,334
0.0032515128295497724,0,3-1,S3:Joey Lawrence,2,1,21,335
1.5567375125179504e-05,0,3-1,S3:Mario Lopez,2,1,36,336
0.016419856108366413,0,3-1,S3:Monique Coleman,2,1,43,337
0.17282337167691966,0,3-1,S3:Sara Evans,2,1,52,338
0.37428721981100754,0,3-1,S3:Shanna Moakler,2,1,33,339
0.5280295940348743,1,3-1,S3:Tucker Carlson,2,1,22,340
0.020518381174798036,0,3-1,S3:Vivica A. Fox,2,1,46,341
0.02139356954215821,0,3-1,S3:Willa Ford,2,1,44,342
0.0019816651215840775,0,3-2,S3:Emmitt Smith,2,2,14,332
0.35032993612347946,0,3-2,S3:Harry Hamlin,2,2,8,333
0.1001458063534816,0,3-2,S3:Jerry Springer,2,2,40,334
2.5498792886406242e-05,0,3-2,S3:Joey Lawrence,2,2,21,335
0.008520587850618115,0,3-2,S3:Mario Lopez,2,2,36,336
0.012851894796702708,0,3-2,S3:Monique Coleman,2,2,43,337
0.1985610525177972,0,3-2,S3:Sara Evans,2,2,52,338
0.6013010249515245,1,3-2,S3:Shanna Moakler,2,2,33,339
0.03678925204328376,0,3-2,S3:Vivica A. Fox,2,2,46,341
0.04202708607037132,0,3-2,S3:Willa Ford,2,2,44,342
