season,1,2,3,4,5,6,7,8,9,10,11
1,1.0,0.1800938198589016,0.476584215504973,0.1909349467490375,0.5385150149736343,1.0,,,,,
2,0.2990543362831941,0.2979347919053645,0.1469968094793699,0.4406529120246486,0.4784854394201721,0.3942733150108007,0.3279257611653084,1.0,,,
3,0.0931254154114908,0.1006657849290489,0.1120187619722321,0.1260728394398987,0.0483129756071369,1.0,0.2057155377971586,0.2545941040121972,0.3393784902268402,1.0,
4,1.0,0.0913579342425606,0.1005600232265985,0.113285623433788,0.1292193001231998,0.1444891882712682,0.1699603244856113,0.2073085946495953,0.2535226024284023,1.0,
5,0.084512388023965,0.091316518576837,0.1019193257697865,0.1125026474984696,0.1269939976511502,0.1441729280034555,0.1686050721809281,0.2027494834081607,0.2532145120550694,1.0,
6,1.0,0.0156407772445731,0.1008283428373407,0.1135390972553867,0.1268677887844524,0.1458130018200519,0.1680222340681585,0.2025876925203713,0.2561970675668635,1.0,
7,0.0131629977973113,0.0184349231654389,1.0,0.1131247517818855,0.126353795503367,0.1476522191035572,0.1679306481693139,0.2035257742976679,0.2561772941012343,1.0,
8,1.0,0.0775554340523717,0.0845780224048742,0.0190353390161858,0.1120765409559872,0.1282552918739558,0.1457974476788058,0.1681789641799431,0.2026676793479965,0.2581429190139414,1.0
9,0.0085300719362742,0.0720779420154671,0.0131125544238113,0.0923957635605923,0.1007952175151432,0.028691644134917,0.049151433216038,0.2034177346677512,0.2530394183863751,1.0,
10,1.0,0.0913656140146489,0.1022400247152759,0.1130993585032587,0.1282276970723198,0.1459763860107318,0.1683275958377562,0.2051268698808433,0.2559515695470654,1.0,
11,0.084299253120937,0.0929837415268901,0.1014815906431439,0.1136173105009913,0.126347686266768,0.1430536963447437,0.1682106256246377,0.2044284305833208,0.2533335582579388,1.0,
12,1.0,0.0919272074128039,0.1021105763564154,0.1122203944776289,0.126348260088293,0.145596810182116,0.168333847446166,0.201729440261556,0.259934872054059,1.0,
13,0.0844167715612415,0.091182300011558,0.1003762313650149,0.1121617731029985,0.1274265508471059,0.1459146329496342,0.1684973186006109,0.204952184506142,0.2593669220591044,1.0,
14,1.0,0.0844743083869143,0.0915498437778712,0.1009705462178521,0.1132782532266813,0.1276467701335376,0.1443656627162726,0.0679621107626051,0.2524617839157656,1.0,
15,0.0776915319482428,0.0836355017395828,0.0183667726943391,0.1123500228143795,1.0,0.1250930298922518,1.0,0.048508611440436,0.1024318538671063,1.0,
16,1.0,0.0845620688831587,0.0924675142362173,0.1015731017453654,0.1133267178261742,0.1270880539500435,0.1479436507565918,0.1707169743984788,0.2044081850136078,1.0,
17,1.0,0.0843839186514201,0.0926025526653556,0.1017962214517358,0.1110003960208997,1.0,0.1260136710112027,0.1441556893982624,0.1667872999613842,0.203791902677896,1.0
18,0.084136592838367,0.0186925664247031,1.0,1.0,0.1119571100505455,0.1264692328503069,0.144622669616052,0.167791005538807,0.2027702877133867,1.0,
19,0.0778852959350883,0.0840526417816377,0.0918273411056916,0.1009706096518575,1.0,0.1115773434938694,0.126247251667778,0.1473143159621167,0.1676943983232535,0.2052033250054044,1.0
20,1.0,0.0833413560000969,0.0922371337564718,0.1008247086734502,0.1122575322669047,0.1258954772096091,0.1427929413656649,0.0696249884486317,0.2535683343547629,1.0,
21,1.0,0.0036017792849705,1.0,0.10192560574854,1.0,0.1137751597364413,0.1255879477819698,0.1452067455344177,0.0680027481130234,1.0,1.0
22,1.0,0.0849316525036225,0.0919422597060132,0.1011261299558708,1.0,0.1128329346862313,0.0363380360722744,0.1671174694874392,0.1019293275052734,1.0,
23,1.0,0.0774696851167175,0.0840927682463063,0.0185638402565843,1.0,0.1128778486874887,0.1260131322209613,0.1447932192761873,0.1687695916924728,0.2011748753308522,1.0
24,1.0,0.0843182932101221,0.0918931495504981,0.1010747840056973,0.1121942068408117,0.1247423201833315,0.0483431422808674,0.2057605033356834,0.2512092610445299,1.0,
25,1.0,0.0129960359608322,1.0,0.0914303395320524,0.1009180923928028,0.1132101805311448,0.0363091533583345,0.1687020228674061,0.2008944416868195,1.0,
26,0.0227635796765228,0.0363079058558509,0.0526691326953733,1.0,,,,,,,
27,0.0774447803585985,0.0842737882384956,0.0917797736237068,0.0996308198925632,1.0,0.1119345244702311,0.0362698572845716,0.0679637172714871,1.0,,
28,1.0,0.1577241325837298,1.0,0.3031247573651048,1.0,0.0232197666562483,0.2076523350639711,0.2108360287614889,0.309730802257218,0.3363457038769161,1.0
29,1.0,0.3020008173150905,0.3178315515851813,0.2378321993688722,0.3010350677689246,0.2742326383971683,0.2326103326242979,0.2099139696414608,0.2884997392366252,0.175450923403612,1.0
30,1.0,0.3156114657987409,0.0405578497224107,0.3710341971601485,0.0406613220023974,0.3129931570048702,0.3126158416234276,0.2627599814454247,0.1452989268618685,1.0,
31,0.2754664510418663,0.2672524615174593,0.2722587287287024,0.3122098181524889,0.0043514548251412,0.2847293203404801,0.2748616467058392,0.3256927543621608,0.3561592974123639,1.0,
32,0.2731432005435971,0.0902973570218319,0.3129811432822472,0.0915754921584709,0.2225545527285579,0.142144909655857,0.059881112375862,0.2040764424831679,0.3062698205544161,1.0,1.0
33,1.0,0.0417900066998301,0.3371612832842254,0.151232251656433,0.2700947139633797,0.1141568334236823,0.3207650108934309,1.0,1.0,,
34,1.0,0.1968948471602271,0.3006499087690559,0.0578292973318345,1.0,0.2760521026521757,0.210700891314185,0.2789780296428165,0.2954862451634935,0.1217818477761726,1.0
